iter	RMSE
291	2424108.22
292	2423953.36
293	2423735.849
294	2423617.975
295	2423483.383
296	2423379.928
297	2423319.432
298	2423216.442
299	2423096.431
300	2422964.644
301	2422829.678
302	2422695.71
303	2422462.054
304	2422413.301
305	2422274.27
306	2422096.86
307	2422043.445
308	2421984.235
309	2421920.5
310	2421746.347
311	2421675.326
312	2421571.969
313	2421493.547
314	2421400.632
315	2421257.515
316	2421246.135
317	2421181.919
318	2421093.133
319	2421028.883
320	2420892.437
321	2420798.131
322	2420721.502
323	2420676.747
324	2420593.99
325	2420537.179
326	2420430.318
327	2420151.438
328	2420024.383
329	2419934.103
330	2419825.323
331	2419723.663
332	2419602.014
333	2419480.119
334	2419426.902
335	2419369.536
336	2419296.966
337	2419219.69
338	2419174.471
339	2419095.825
340	2419040.712
341	2418907.421
342	2418830.449
343	2418731.229
344	2418649.457
345	2418458.904
346	2418405.256
347	2418360.749
348	2418308.687
349	2418261.291
350	2418191.597
351	2418148.901
352	2418105.254
353	2418062.051
354	2417942.684
355	2417892.981
356	2417831.174
357	2417735.207
358	2417650.268
359	2417517.54
360	2417452.013
361	2417434.035
362	2417373.062
363	2417302.498
364	2417209.492
365	2417125.652
366	2417106.662
367	2417061.754
368	2417007.565
369	2416842.194
370	2416773.661
371	2416742.789
372	2416678.167
373	2416627.205
374	2416598.156
375	2416564.364
376	2416493.438
377	2416404.016
378	2416298.812
379	2416266.009
380	2416219.074
381	2416177.196
382	2416139.668
383	2416089.732
384	2416008.06
385	2415976.809
386	2415920.869
387	2415882.147
388	2415859.736
389	2415804.961
390	2415770.663
391	2415734.408
392	2415690.838
393	2415658.644
394	2415555.957
395	2415518.379
396	2415459.588
397	2415418.343
398	2415358.387
399	2415309.55
400	2415274.531
401	2415199.427
402	2415132.731
403	2415063.134
404	2415008.426
405	2414955.238
406	2414892.767
407	2414859.089
408	2414811.706
409	2414788.732
410	2414735.631
411	2414667.054
412	2414639.517
413	2414602.064
414	2414573.08
415	2414532.083
416	2414487.833
417	2414392.974
418	2414300.578
419	2414250.743
420	2414106.407
421	2414053.856
422	2414034.376
423	2413907.125
424	2413856.109
425	2413803.799
426	2413758.919
427	2413723.455
428	2413632.113
429	2413565.318
430	2413527.564
431	2413518.548
432	2413485.336
433	2413446.253
434	2413404.872
435	2413376.991
436	2413348.307
437	2413317.797
438	2413251.426
439	2413239.398
440	2413151.671
441	2413123.746
442	2413106.016
443	2413063.335
444	2413030.01
445	2413021.767
446	2412977.088
447	2412888.864
448	2412872.017
449	2412826.678
450	2412780.299
451	2412770.608
452	2412755.613
453	2412688.085
454	2412637.892
455	2412605.338
456	2412569.568
457	2412516.199
458	2412454.257
459	2412429.37
460	2412372.192
461	2412329.221
462	2412273.262
463	2412257.537
464	2412198.976
465	2412171.817
466	2412149.05
467	2412125.849
468	2412089.474
469	2412074.625
470	2412035.328
471	2412024.145
472	2411988.4
473	2411970.268
474	2411942.864
475	2411926.977
476	2411889.459
477	2411873.442
478	2411850.569
479	2411801.567
480	2411755.166
481	2411735.511
482	2411708.966
483	2411690.88
484	2411651.246
485	2411601.171
486	2411576.565
487	2411560.336
488	2411506.083
489	2411465.102
490	2411458.615
491	2411423.307
492	2411400.699
493	2411371.602
494	2411365.627
495	2411326.838
496	2411315.363
497	2411300.669
498	2411288.314
499	2411275.497
500	2411255.574
501	2411234.193
502	2411183.376
503	2411159.637
504	2411145.283
505	2411075.542
506	2411061.012
507	2411045.618
508	2411014.36
509	2410995.535
510	2410967.52
511	2410935.38
512	2410899.814
513	2410839.076
514	2410814.045
515	2410799.272
516	2410753.977
517	2410728.898
518	2410680.659
519	2410654.952
520	2410623.591
521	2410601.675
522	2410585.043
523	2410562.293
524	2410556.078
525	2410520.163
526	2410496.154
527	2410485.453
528	2410460.048
529	2410434.654
530	2410426.802
531	2410421.472
532	2410396.386
533	2410385.898
534	2410373.702
535	2410360.599
536	2410344.633
537	2410333.072
538	2410315.157
539	2410296.331
540	2410280.147
541	2410266.537
542	2410250.334
543	2410243.972
544	2410221.024
545	2410195.801
546	2410173.471
547	2410162.503
548	2410154.541
549	2410126.583
550	2410120.113
551	2410096.892
552	2410084.973
553	2410070.565
554	2410052.051
555	2410011.744
556	2410006.941
557	2409996.308
558	2409988.376
559	2409979.367
560	2409958.318
561	2409921.337
562	2409907.382
563	2409890.359
564	2409879.704
565	2409872.343
566	2409845.486
567	2409826.938
568	2409807.978
569	2409798.582
570	2409775.917
571	2409769.038
572	2409757.64
573	2409748.905
574	2409741.48
575	2409737.13
576	2409708.248
577	2409695.738
578	2409684.514
579	2409656.31
580	2409646.734
581	2409637.521
582	2409620.757
583	2409611.944
584	2409595.275
585	2409583.036
586	2409576.869
587	2409557.851
588	2409552.829
589	2409546.424
590	2409529.82
591	2409511.907
592	2409505.232
593	2409500.5
594	2409486.639
595	2409469.665
596	2409452.348
597	2409422.344
598	2409403.409
599	2409397.676
600	2409383.111
601	2409366.944
602	2409352.827
603	2409337.972
604	2409328.328
605	2409305.53
606	2409284.359
607	2409264.316
608	2409254.896
609	2409230.453
610	2409217.286
611	2409204.362
612	2409184.579
613	2409177.263
614	2409159.63
615	2409146.382
616	2409136.425
617	2409128.496
618	2409103.833
619	2409091.515
620	2409060.643
621	2409053.725
622	2409041.435
623	2409030.99
624	2409026.109
625	2409019.888
626	2409014.346
627	2409000.536
628	2408980.949
629	2408968.793
630	2408963.325
631	2408959.558
632	2408953.397
633	2408929.779
634	2408916.302
635	2408906.735
636	2408882.365
637	2408869.812
638	2408861.716
639	2408859.82
640	2408849.819
641	2408840.734
642	2408836.06
643	2408827.162
644	2408815.807
645	2408810.832
646	2408796.512
647	2408789.427
648	2408785.217
649	2408780.975
650	2408776.108
651	2408765.433
652	2408756.178
653	2408752.019
654	2408745.897
655	2408731.821
656	2408727.132
657	2408719.234
658	2408713.998
659	2408704.005
660	2408699.541
661	2408687.671
662	2408679.031
663	2408668.029
664	2408654.983
665	2408643.983
666	2408638.634
667	2408629.527
668	2408625.137
669	2408625.131
670	2408615.036
671	2408604.906
672	2408600.293
673	2408595.496
674	2408588.941
675	2408570.784
676	2408560.594
677	2408551.208
678	2408540.899
679	2408528.154
680	2408519.846
681	2408516.548
682	2408511.813
683	2408496.906
684	2408490.812
685	2408485.378
686	2408472.27
687	2408462.253
688	2408453.884
689	2408446.845
690	2408442.465
691	2408430.362
692	2408418.544
693	2408409.926
694	2408400.594
695	2408391.703
696	2408383.948
697	2408376.794
698	2408370.941
699	2408365.754
700	2408359.387
701	2408349.569
702	2408348.165
703	2408345.381
704	2408337.884
705	2408318.941
706	2408311.914
707	2408308.282
708	2408307.795
709	2408303.234
710	2408300.883
711	2408292.254
712	2408282.287
713	2408272.13
714	2408268.323
715	2408257.357
716	2408253.746
717	2408242.051
718	2408235.303
719	2408229.274
720	2408223.223
721	2408208.283
722	2408201.348
723	2408198.031
724	2408195.875
725	2408191.28
726	2408188.831
727	2408178.393
728	2408170.643
729	2408168.306
730	2408161.36
731	2408155.64
732	2408146.191
733	2408141.105
734	2408136.65
735	2408134.29
736	2408127.053
737	2408123.523
738	2408118.333
739	2408112.543
740	2408108.026
741	2408104.829
742	2408102.572
743	2408095.348
744	2408094.297
745	2408090.842
746	2408084.479
747	2408082.404
748	2408078.445
749	2408073.833
750	2408069.31
751	2408067.648
752	2408063.668
753	2408056.261
754	2408048.772
755	2408047.62
756	2408043.898
757	2408036.043
758	2408033.744
759	2408025.562
760	2408017.437
761	2408014.334
762	2407998.981
763	2407993.832
764	2407989.203
765	2407980.724
766	2407977.434
767	2407976.524
768	2407968.819
769	2407965.673
770	2407958.726
771	2407956.099
772	2407954.986
773	2407950.44
774	2407945.017
775	2407929.188
776	2407927.001
777	2407924.627
778	2407915.155
779	2407910.748
780	2407907.169
781	2407902.415
782	2407901.167
783	2407900.02
784	2407894.582
785	2407890.943
786	2407887.604
787	2407881.363
788	2407875.467
789	2407872.748
790	2407867.317
791	2407864.345
792	2407862.441
793	2407856.439
794	2407853.001
795	2407846.803
796	2407842.553
797	2407841.731
798	2407834.347
799	2407826.19
800	2407825.491
801	2407822.313
802	2407819.077
803	2407816.227
804	2407815.491
805	2407813.868
806	2407810.186
807	2407806.537
808	2407802.477
809	2407799.33
810	2407797.296
811	2407794.723
812	2407792.495
813	2407788.945
814	2407788.319
815	2407785.197
816	2407782.108
817	2407777.961
818	2407774.968
819	2407770.213
820	2407768.709
821	2407760.328
822	2407758.481
823	2407757.252
824	2407752.898
825	2407750.877
826	2407748.148
827	2407743.848
828	2407736.788
829	2407727.991
830	2407723.912
831	2407721.533
832	2407719.963
833	2407716.239
834	2407713.926
835	2407713.603
836	2407711.412
837	2407710.496
838	2407706.599
839	2407699.47
840	2407697.807
841	2407693.687
842	2407692.277
843	2407686.038
844	2407682.229
845	2407679.029
846	2407672.659
847	2407665.73
848	2407662.478
849	2407661.714
